id_vuelo,aerolinea,origen,destino,fecha,hora_salida,hora_llegada,capacidad
V001,Iberia,HND,LPA,2026-07-13,13:20,17:35,140
V002,JAL,PVG,CAI,2026-04-21,18:00,19:10,160
V003,Iberia,FCO,MEX,2026-06-20,11:45,16:35,300
V004,Lufthansa,MUC,MAD,2026-07-08,18:40,23:55,160
V005,Air Europa,DUB,PMI,2026-05-28,08:40,15:10,120
V006,JAL,DOH,LAX,2026-04-25,17:10,02:40,320
V007,Air France,NRT,VIE,2026-07-09,07:00,18:20,180
V008,Ryanair,AGP,FCO,2026-05-28,13:50,01:30,150
V009,Air France,VIE,BRU,2026-07-04,13:10,23:25,280
V010,Lufthansa,DOH,MXP,2026-06-08,17:30,04:50,320
V011,KLM,OPO,VLC,2026-07-24,06:40,14:10,140
V012,American Airlines,ORY,GRU,2026-05-07,20:45,08:35,150
V013,KLM,FRA,TFN,2026-07-14,22:30,11:15,300
V014,KLM,ATH,VIE,2026-04-27,21:50,23:50,140
V015,Lufthansa,SCQ,HND,2026-07-20,18:10,01:55,300
V016,TAP,LAX,CUN,2026-06-19,05:10,16:40,320
V017,British Airways,DUB,LPA,2026-06-04,10:50,12:20,280
V018,Ryanair,LGW,MEX,2026-07-30,14:20,18:00,150
V019,Iberia,BOG,CUN,2026-06-25,15:50,17:00,200
V020,Vueling,LIS,MXP,2026-05-10,07:10,20:00,140
V021,easyJet,BOG,TFN,2026-07-03,20:15,02:00,160
V022,Air France,BOG,DOH,2026-07-10,14:45,02:25,250
V023,Ryanair,CUN,JFK,2026-05-11,12:10,18:10,300
V024,KLM,LIM,FCO,2026-04-10,07:00,11:10,120
V025,Aeromexico,DUB,SVQ,2026-05-10,13:50,18:05,300
V026,KLM,GRU,ORD,2026-07-19,20:45,00:55,140
V027,Delta,PEK,WAW,2026-06-03,18:50,06:50,320
V028,Vueling,ICN,PMI,2026-05-31,15:10,19:30,160
V029,easyJet,BOG,JFK,2026-06-03,10:30,18:50,140
V030,Ryanair,JFK,LIM,2026-04-16,22:00,00:20,150
V031,LATAM,PRG,MIA,2026-05-07,17:00,20:45,120
V032,Qatar Airways,ZRH,FRA,2026-05-16,18:50,22:10,180
V033,JAL,ORY,VLC,2026-04-17,15:00,16:50,280
V034,Vueling,CUN,LHR,2026-06-14,07:15,09:25,320
V035,Ryanair,MXP,ATH,2026-08-08,12:00,22:10,220
V036,Aeromexico,PEK,EZE,2026-05-20,13:20,01:00,160
V037,easyJet,FRA,ATH,2026-07-04,14:50,21:00,120
V038,Ryanair,LAX,NRT,2026-04-19,22:20,07:50,150
V039,KLM,BRU,SVQ,2026-05-27,14:15,22:45,300
V040,Iberia,ICN,CUN,2026-07-04,22:30,09:40,150
V041,Ryanair,FRA,LPA,2026-07-14,22:15,03:45,300
V042,American Airlines,ORY,DXB,2026-05-06,13:50,18:50,140
V043,TAP,HND,WAW,2026-04-15,05:40,09:10,150
V044,JAL,CAI,JFK,2026-07-09,18:00,20:10,150
V045,Delta,BOG,BIO,2026-06-23,22:15,05:30,120
V046,Vueling,LIS,VIE,2026-08-03,16:20,03:40,320
V047,JAL,PMI,BRU,2026-08-01,18:15,22:30,150
V048,Lufthansa,PRG,BCN,2026-07-13,15:45,03:05,180
V049,Ryanair,LHR,SIN,2026-05-28,06:50,11:10,250
V050,KLM,BRU,LIS,2026-05-08,05:20,13:00,180
V051,Delta,SVQ,MUC,2026-07-01,21:45,09:25,120
V052,Lufthansa,LPA,FRA,2026-06-23,13:00,15:45,200
V053,Emirates,DOH,OPO,2026-06-26,21:10,04:30,180
V054,Emirates,BIO,DXB,2026-04-10,21:20,04:05,140
V055,American Airlines,PEK,DUB,2026-07-03,08:30,18:00,320
V056,United,PRG,OPO,2026-07-08,14:15,19:00,320
V057,Lufthansa,ZRH,PVG,2026-06-27,14:45,23:45,180
V058,Emirates,AMS,ORY,2026-07-19,15:50,00:40,320
V059,LATAM,ORY,MEX,2026-07-20,10:10,15:50,140
V060,British Airways,MXP,PVG,2026-05-08,11:15,12:15,160
V061,Air Europa,ORD,NRT,2026-06-07,18:20,07:05,250
V062,easyJet,ATH,MXP,2026-07-02,05:10,12:30,150
V063,Qatar Airways,SIN,CUN,2026-04-16,22:20,01:10,150
V064,Aeromexico,LAX,PEK,2026-06-20,15:50,02:35,280
V065,LATAM,JFK,LHR,2026-06-06,13:20,00:50,280
V066,KLM,MIA,HND,2026-05-15,19:10,07:40,160
V067,American Airlines,MUC,DUB,2026-08-02,22:10,01:25,160
V068,easyJet,ZRH,SIN,2026-07-09,11:10,18:55,200
V069,Emirates,BOG,LAX,2026-04-17,11:45,18:45,300
V070,Iberia,ZRH,ORD,2026-08-08,16:30,00:15,280
V071,KLM,CAI,BOG,2026-06-11,12:30,20:20,120
V072,United,ZRH,DUB,2026-07-11,10:50,13:50,220
V073,Iberia,EZE,GRU,2026-04-20,18:15,02:30,120
V074,American Airlines,FRA,ZRH,2026-05-07,19:40,02:25,180
V075,Air Europa,PRG,FRA,2026-06-09,05:00,11:20,320
V076,Vueling,SVQ,ICN,2026-07-15,05:20,09:20,300
V077,easyJet,SCQ,MXP,2026-06-09,08:20,16:50,200
V078,Ryanair,LHR,SCL,2026-07-18,10:30,12:30,180
V079,United,GRU,PVG,2026-05-30,11:10,21:30,140
V080,Ryanair,SIN,LIS,2026-07-20,06:40,16:25,320
V081,Aeromexico,VIE,SVQ,2026-07-01,15:00,22:50,140
V082,Qatar Airways,WAW,VIE,2026-07-09,09:45,13:15,300
V083,Qatar Airways,BOG,ORD,2026-06-04,13:40,17:50,180
V084,Qatar Airways,JFK,MXP,2026-06-21,17:40,19:30,200
V085,Air France,LGW,MIA,2026-05-25,13:40,19:10,280
V086,Air France,MAD,CUN,2026-04-20,12:45,21:05,250
V087,LATAM,ICN,DXB,2026-06-06,05:10,10:30,220
V088,British Airways,SIN,MXP,2026-07-03,16:50,02:30,220
V089,American Airlines,CAI,LIM,2026-05-25,19:30,01:00,160
V090,Air France,LPA,DOH,2026-05-20,08:15,12:35,250
V091,Aeromexico,MUC,DOH,2026-06-25,14:10,18:40,160
V092,British Airways,VIE,LGW,2026-04-11,22:15,03:15,120
V093,easyJet,LIM,AMS,2026-06-30,20:10,21:40,250
V094,American Airlines,ORD,JFK,2026-05-03,06:30,14:40,140
V095,Air Europa,ATH,MIA,2026-06-22,06:15,09:45,140
V096,JAL,MXP,LPA,2026-07-16,18:20,04:05,250
V097,Emirates,JFK,LIS,2026-05-19,06:10,10:30,180
V098,Lufthansa,PEK,AGP,2026-05-10,10:10,13:10,220
V099,LATAM,JFK,SIN,2026-05-17,06:20,11:50,250
V100,KLM,SVQ,PVG,2026-08-06,13:20,20:30,280
V101,easyJet,FCO,ICN,2026-08-04,13:15,15:15,150
V102,British Airways,LIS,SCL,2026-06-05,08:50,21:20,220
V103,JAL,MUC,MEX,2026-06-12,19:10,05:10,220
V104,TAP,CAI,OPO,2026-04-13,07:20,18:20,320
V105,Vueling,MUC,GRU,2026-07-16,10:50,20:40,180
V106,Emirates,LGW,EZE,2026-06-30,20:10,04:50,220
V107,Ryanair,DUB,OPO,2026-07-28,10:40,18:30,180
V108,JAL,PEK,ATH,2026-04-14,19:10,01:40,200
V109,Aeromexico,LPA,ATH,2026-07-24,05:50,12:50,160
V110,LATAM,CUN,VIE,2026-06-29,19:00,23:30,280
V111,Qatar Airways,TFN,AMS,2026-07-31,20:10,21:30,150
V112,Iberia,LIS,LIM,2026-06-19,18:10,22:20,250
V113,easyJet,LPA,ICN,2026-06-12,14:30,22:20,250
V114,JAL,MXP,LAX,2026-04-28,17:20,03:35,140
V115,American Airlines,MUC,PRG,2026-08-07,21:30,23:00,180
V116,LATAM,EZE,PEK,2026-07-29,09:50,19:40,200
V117,JAL,DUB,LIM,2026-05-28,19:40,00:00,300
V118,Emirates,ZRH,FCO,2026-04-15,15:50,04:35,220
V119,easyJet,PEK,ICN,2026-06-12,06:15,15:55,140
V120,Aeromexico,JFK,PMI,2026-08-04,19:00,07:15,220
V121,Air Europa,ICN,SCQ,2026-06-09,13:40,00:25,320
V122,JAL,AGP,DUB,2026-05-28,15:50,00:50,300
V123,British Airways,SVQ,MXP,2026-05-09,07:45,09:55,250
V124,British Airways,LHR,SIN,2026-08-03,05:00,11:00,180
V125,Emirates,BRU,VIE,2026-04-28,12:45,23:00,150
V126,United,LGW,AGP,2026-06-28,12:50,23:05,160
V127,TAP,LAX,HND,2026-06-07,13:00,21:30,320
V128,Air Europa,BOG,LHR,2026-06-05,16:30,04:15,180
V129,Air France,LAX,LIS,2026-05-29,20:10,00:55,300
V130,British Airways,BRU,GRU,2026-07-08,14:00,01:45,180
V131,Vueling,MAD,GRU,2026-08-04,20:30,01:10,160
V132,TAP,HND,CDG,2026-07-05,09:10,20:10,180
V133,Delta,JFK,BIO,2026-07-12,09:10,14:50,220
V134,easyJet,LGW,CDG,2026-07-19,22:40,08:10,150
V135,British Airways,FRA,ORD,2026-07-14,15:10,23:20,150
V136,United,FCO,PVG,2026-07-27,22:40,01:25,120
V137,Ryanair,FRA,BOG,2026-06-07,16:30,03:15,320
V138,KLM,VIE,PMI,2026-06-09,05:40,16:00,320
V139,Qatar Airways,SVQ,HND,2026-08-04,14:45,17:00,120
V140,LATAM,BIO,LIS,2026-04-24,08:20,17:35,220
V141,JAL,LAX,VIE,2026-06-02,09:45,20:55,250
V142,TAP,NRT,PRG,2026-04-14,16:20,01:10,160
V143,Delta,VIE,PMI,2026-06-18,16:00,23:30,160
V144,Air Europa,LPA,LAX,2026-07-03,11:00,12:40,160
V145,Air France,TFN,GRU,2026-04-18,22:20,08:40,160
V146,Iberia,DUB,SCQ,2026-05-15,09:15,18:45,150
V147,Iberia,LPA,PEK,2026-04-26,05:40,10:20,120
V148,Vueling,LGW,FRA,2026-04-26,18:10,06:20,250
V149,Aeromexico,JFK,VIE,2026-06-24,08:50,18:10,300
V150,Aeromexico,BIO,DOH,2026-05-18,19:00,20:50,220
V151,Ryanair,WAW,PVG,2026-06-11,19:10,21:50,300
V152,easyJet,SCQ,SVQ,2026-05-15,22:40,06:10,250
V153,Emirates,MEX,SCL,2026-04-22,08:20,16:10,160
V154,Qatar Airways,PRG,DUB,2026-05-31,18:10,00:55,200
V155,Delta,PEK,FRA,2026-04-29,20:10,22:20,140
V156,Delta,WAW,PMI,2026-07-22,09:00,19:40,320
V157,Delta,LPA,PRG,2026-07-30,18:00,23:30,200
V158,Aeromexico,PMI,GRU,2026-05-07,09:50,14:00,200
V159,Ryanair,LIM,VIE,2026-07-16,13:20,20:20,300
V160,TAP,PEK,SIN,2026-04-13,10:30,23:00,200
V161,Lufthansa,BRU,MAD,2026-07-30,09:45,12:00,320
V162,Aeromexico,BCN,AGP,2026-05-07,17:45,02:25,150
V163,American Airlines,VIE,LIS,2026-07-18,07:00,10:15,300
V164,Air Europa,VLC,PVG,2026-05-14,19:45,04:35,220
V165,Aeromexico,MUC,ORY,2026-04-24,16:45,19:15,320
V166,LATAM,PVG,EZE,2026-06-16,14:00,18:45,300
V167,Air France,VLC,MAD,2026-05-18,11:15,16:45,200
V168,LATAM,LPA,MAD,2026-07-14,18:15,22:00,280
V169,Aeromexico,DXB,FCO,2026-06-20,16:10,23:10,220
V170,Air Europa,BCN,LAX,2026-07-29,15:45,02:30,320
V171,Ryanair,PRG,AMS,2026-05-31,05:40,09:30,200
V172,Ryanair,AGP,WAW,2026-05-11,18:45,03:55,220
V173,American Airlines,LIS,CAI,2026-05-08,15:15,17:25,280
V174,Delta,MEX,CDG,2026-05-24,09:20,11:35,180
V175,easyJet,CDG,LGW,2026-07-16,07:15,19:05,250
V176,Qatar Airways,GRU,EZE,2026-07-06,15:40,19:30,140
V177,British Airways,ORD,JFK,2026-07-20,13:00,19:10,180
V178,Vueling,LAX,JFK,2026-04-17,16:30,18:40,300
V179,United,SCL,MEX,2026-06-08,22:00,06:20,200
V180,Aeromexico,SCL,ORD,2026-04-29,06:50,09:30,140
V181,Lufthansa,MEX,ICN,2026-04-15,12:50,21:05,200
V182,United,VIE,AMS,2026-06-01,15:00,02:40,140
V183,JAL,DUB,PMI,2026-07-05,17:30,22:45,200
V184,easyJet,AGP,EZE,2026-08-05,16:30,04:15,150
V185,Air Europa,SCL,DXB,2026-05-19,22:45,10:25,150
V186,Aeromexico,PEK,SIN,2026-04-21,18:40,20:20,180
V187,American Airlines,LGW,ORY,2026-07-17,20:20,00:35,150
V188,Ryanair,SVQ,AMS,2026-06-13,22:00,09:40,300
V189,United,TFN,SCL,2026-04-29,10:15,22:30,250
V190,Delta,BIO,PRG,2026-07-05,12:50,23:20,250
V191,KLM,FCO,BOG,2026-05-19,20:20,03:10,250
V192,Aeromexico,AMS,ZRH,2026-06-16,18:15,22:30,180
V193,LATAM,VLC,ICN,2026-07-30,16:10,04:20,180
V194,TAP,AGP,LHR,2026-06-06,21:15,04:25,160
V195,Iberia,JFK,BRU,2026-06-02,06:45,16:25,160
V196,Delta,ZRH,AGP,2026-05-08,05:40,08:20,150
V197,British Airways,TFN,BIO,2026-08-05,20:15,09:05,250
V198,Air Europa,NRT,MAD,2026-04-12,13:20,17:05,140
V199,British Airways,AMS,MXP,2026-04-25,06:20,14:10,140
V200,JAL,LPA,MIA,2026-04-12,21:20,09:35,180
